ca-ac;J;J: Sacramento -  Christie Transbay;Main;10.4;1.27;37.790356,-122.395469,37.829188,-122.285017,37.829495,-122.287962,37.833988,-122.293293,37.837442,-122.292976,37.841324,-122.294933,37.844598,-122.295946,37.846139,-122.294807,37.847031,-122.291519,37.849045,-122.292153,37.851195,-122.290464,37.85217,-122.286247,37.853162,-122.280972,37.855891,-122.279439,37.858069,-122.279877,37.859839,-122.280242,37.862116,-122.280932,37.867648,-122.281543,37.870181,-122.284654
ca-ac;G;G: Colusa - Solano Transbay;Main;12.0;1.26;37.903153,-122.299325,37.903183,-122.293992,37.903894,-122.290768,37.902995,-122.288669,37.899639,-122.287425,37.896677,-122.285409,37.894703,-122.28281,37.892254,-122.28013,37.89133,-122.281795,37.89109,-122.285958,37.890863,-122.289194,37.890748,-122.291328,37.890693,-122.293479,37.890527,-122.296019,37.890379,-122.29832,37.888096,-122.298404,37.886462,-122.29787,37.88441,-122.297213,37.879897,-122.295773,37.875418,-122.294329,37.871763,-122.293147,37.869114,-122.292544,37.868157,-122.297414,37.789252,-122.396897
ca-ac;FS;FS: Shattuck - University Transbay;Main;10.86;1.14;37.891297,-122.278761,37.891101,-122.276223,37.888576,-122.272503,37.883403,-122.271112,37.881703,-122.270355,37.88032,-122.269455,37.878536,-122.269231,37.874571,-122.268853,37.872369,-122.268543,37.8717,-122.272872,37.870586,-122.281627,37.869836,-122.287417,37.869114,-122.292544,37.868157,-122.297414,37.789252,-122.396897
ca-ac;F;F: Adeline - Market Transbay;Main;11.72;1.22;37.789949,-122.395668,37.837433,-122.29449,37.833348,-122.293641,37.829439,-122.287267,37.829901,-122.284882,37.830189,-122.283446,37.830607,-122.281322,37.83103,-122.279367,37.830886,-122.273785,37.834341,-122.27291,37.837797,-122.273517,37.839138,-122.273795,37.842233,-122.274463,37.84409,-122.274908,37.845978,-122.272847,37.849115,-122.271091,37.851003,-122.270477,37.852913,-122.269542,37.855424,-122.268619,37.857758,-122.267728,37.862092,-122.266997,37.863909,-122.267216,37.866604,-122.267517,37.86845,-122.267722,37.86988,-122.267802,37.872541,-122.268319,37.873981,-122.266985,37.874432,-122.264081,37.87493,-122.260552,37.875298,-122.25797,37.873472,-122.255228
ca-ac;E;E: Tunnel Rd. - Claremont Transbay;Main;11.19;1.05;37.85484,-122.220394,37.852564,-122.234017,37.853842,-122.235995,37.855268,-122.238238,37.858143,-122.244115,37.856225,-122.246924,37.854115,-122.248625,37.852445,-122.249976,37.849147,-122.252619,37.846017,-122.255158,37.843067,-122.257603,37.789252,-122.396897
ca-ac;851;851: College - Broadway All Nighter;Main;11.35;1.63;37.775,-122.224569,37.77379,-122.227856,37.76859,-122.234222,37.76746,-122.235163,37.76368,-122.238582,37.765284,-122.241692,37.766168,-122.2436,37.767416,-122.246484,37.768483,-122.248904,37.769728,-122.251761,37.771552,-122.256026,37.772913,-122.259887,37.772979,-122.262376,37.773076,-122.26492,37.773203,-122.268865,37.773303,-122.272594,37.773611,-122.276711,37.775491,-122.276645,37.777642,-122.276536,37.780202,-122.276366,37.783169,-122.276388,37.799058,-122.270547,37.80017,-122.273479,37.80208,-122.272453,37.804172,-122.271194,37.809324,-122.267939,37.811799,-122.266381,37.814038,-122.264986,37.815425,-122.264113,37.816493,-122.263436,37.818848,-122.262031,37.820723,-122.260797,37.823542,-122.259017,37.824916,-122.258174,37.827341,-122.256671,37.831499,-122.2541,37.834686,-122.251989,37.836855,-122.251216,37.840021,-122.251261,37.842791,-122.251538,37.84455,-122.251687,37.847032,-122.25197,37.850062,-122.252308,37.851618,-122.252364,37.854163,-122.252703,37.857287,-122.252988,37.858815,-122.253145,37.862027,-122.253482,37.864177,-122.253712,37.866775,-122.254045,37.869294,-122.255129,37.86866,-122.259909,37.868458,-122.261913,37.868169,-122.264083,37.87147,-122.266577,37.86948,-122.268127
ca-ac;840;840: Foothill - Eastmont All Nighter;Main;6.17;1.06;37.803792,-122.271693,37.801544,-122.270868,37.800528,-122.268333,37.799722,-122.266262,37.798772,-122.256709,37.797914,-122.25472,37.796448,-122.253054,37.79401,-122.250315,37.79204,-122.248082,37.790582,-122.24642,37.79032,-122.244776,37.790028,-122.242809,37.788517,-122.240293,37.786619,-122.237122,37.785173,-122.234324,37.784716,-122.232548,37.784592,-122.230453,37.784451,-122.228175,37.784297,-122.225765,37.783584,-122.222515,37.781788,-122.219092,37.779045,-122.216844,37.77652,-122.214017,37.774794,-122.212073,37.773619,-122.209758,37.772578,-122.206802,37.772566,-122.20313,37.772553,-122.198697,37.772549,-122.196234,37.772017,-122.193204,37.771465,-122.189944,37.77112,-122.187694,37.770658,-122.184203,37.770297,-122.181497,37.769707,-122.176943,37.769185,-122.174412
ca-ac;805;805: MacArthur - Airport All Nighter;Main;7.09;1.21;37.769193,-122.174041,37.769929,-122.177031,37.770464,-122.181582,37.772288,-122.181827,37.773589,-122.18325,37.775374,-122.185144,37.777353,-122.187553,37.783232,-122.188018,37.785209,-122.189933,37.785621,-122.191966,37.787255,-122.194629,37.789578,-122.196721,37.791104,-122.198111,37.793658,-122.200436,37.796099,-122.203157,37.797406,-122.204773,37.798641,-122.208473,37.799136,-122.211081,37.799547,-122.212658,37.800546,-122.216622,37.801016,-122.218427,37.800201,-122.221281,37.800474,-122.222731,37.800866,-122.2248,37.801653,-122.229036,37.802839,-122.230642,37.804234,-122.232611,37.805722,-122.237462,37.807074,-122.241306,37.809512,-122.244203,37.810381,-122.24693,37.810288,-122.248922,37.808713,-122.251428,37.808876,-122.253613,37.809069,-122.255964,37.809823,-122.25922,37.810995,-122.26209,37.81133,-122.26446,37.811175,-122.267044,37.803792,-122.271693
ca-ac;802;802: San Pablo All Nighter;Main;5.29;1.14;37.867275,-122.300677,37.867943,-122.297351,37.8686,-122.294079,37.868706,-122.29209,37.866481,-122.291436,37.864711,-122.290869,37.86293,-122.290299,37.860794,-122.289583,37.859067,-122.28905,37.856294,-122.28816,37.854456,-122.287577,37.851805,-122.286712,37.849789,-122.286072,37.848146,-122.285543,37.846544,-122.285024,37.844789,-122.284455,37.840477,-122.283047,37.838906,-122.282549,37.837379,-122.282067,37.835263,-122.281379,37.83384,-122.280922,37.830609,-122.279851,37.826201,-122.278489,37.822673,-122.277333,37.819684,-122.27637,37.816982,-122.275482,37.81503,-122.2749,37.813061,-122.274237,37.81001,-122.272771,37.80908,-122.2684,37.804447,-122.271746
ca-ac;801;801: E 14th - Mission  All Nighter;Main;19.81;1.31;37.721441,-122.160269,37.722867,-122.156349,37.724727,-122.157549,37.72521,-122.156367,37.723613,-122.154109,37.722488,-122.152545,37.720677,-122.15017,37.718992,-122.147866,37.717496,-122.145962,37.715484,-122.143261,37.714326,-122.141672,37.71253,-122.139188,37.71062,-122.136455,37.708786,-122.133813,37.705447,-122.12906,37.703598,-122.126401,37.701508,-122.123442,37.699342,-122.121197,37.698392,-122.12475,37.696663,-122.125971,37.698266,-122.124512,37.699597,-122.120677,37.698132,-122.118581,37.695795,-122.11529,37.694546,-122.113442,37.691787,-122.1096,37.690661,-122.107995,37.688329,-122.104643,37.684245,-122.099179,37.683028,-122.097653,37.681775,-122.096093,37.679928,-122.093814,37.67769,-122.090881,37.674909,-122.087448,37.67195,-122.084393,37.670239,-122.08718,37.670777,-122.082872,37.66824,-122.080609,37.665564,-122.078349,37.662908,-122.076187,37.659823,-122.073858,37.657336,-122.071923,37.654431,-122.069663,37.650667,-122.066798,37.648326,-122.06492,37.646124,-122.063131,37.642512,-122.060297,37.63888,-122.057262,37.636925,-122.055262,37.634696,-122.056939,37.633363,-122.051357,37.625089,-122.04184,37.621856,-122.038156,37.618307,-122.034088,37.61428,-122.02949,37.611572,-122.026401,37.608265,-122.022632,37.605785,-122.019818,37.603809,-122.017601,37.600181,-122.017165,37.597732,-122.01802,37.593952,-122.019375,37.589894,-122.01684,37.590181,-122.02072,37.586601,-122.021971,37.582837,-122.023266,37.580981,-122.023916,37.576645,-122.027408,37.570184,-122.03146,37.567713,-122.026433,37.565696,-122.022225,37.564323,-122.019463,37.562291,-122.015315,37.560332,-122.011478,37.558916,-122.008553,37.557886,-122.00658,37.556094,-122.003174,37.554525,-122.000116,37.552744,-121.996647,37.550739,-121.992839,37.548003,-121.987554,37.546558,-121.984742,37.54635,-121.981948,37.548758,-121.980122,37.552276,-121.97742,37.557496,-121.976025
